No,Title,Date,Image URL
"35","Ketika Prabowo Mesra dengan SBY dan Jokowi...","1 Maret 2025","https://asset.kompas.com/crops/YOpcMr0pQdeH8Df7NLfDfjtgfAc=/187x0:1266x719/235x132/data/photo/2025/02/24/67bc0f4f8997a.png"
"36","Pekan Depan, Rektor hingga MWA UI Rapat Bahas Nasib Disertasi Bahlil","1 Maret 2025","https://asset.kompas.com/crops/YWRVfr4eXxayAxEoxLAC0eaxqiE=/0x0:0x0/235x132/data/photo/2025/02/26/67bec03e6fba7.jpeg"
"37","Ramai soal "Pertamax Adalah Pertalite yang Enggak Antre", Anggota DPR: Jangan Salahkan Rakyat","1 Maret 2025","https://asset.kompas.com/crops/VBc223LhVwXu_UpLnQnbjrscroU=/0x0:0x0/235x132/data/photo/2023/02/02/63db75807da8c.jpg"
"38","1 Ramadhan 2025 Serentak, Wamenag Harap Berlanjut pada Penetapan Idul Fitri","1 Maret 2025","https://asset.kompas.com/crops/jsGfDaftFYNXvVEzkwrb4K-lGSM=/0x0:0x0/235x132/data/photo/2025/01/06/677b903f5d145.jpg"
"39","MWA UI Bantah Pembatalan Disertasi Bahlil Lahadalia, Sebut Keputusan Ada di Rektor","28 Februari 2025","https://asset.kompas.com/crops/pvLQzPZFXW1JY27b4Vdtk6M8znM=/0x0:0x0/235x132/data/photo/2025/02/19/67b5773b75229.jpg"
"40","Viral Video Mobil Maung Prabowo Isi Bensin di Shell, Istana Beri Penjelasan","28 Februari 2025","https://asset.kompas.com/crops/157JgtfyP39b1YBCgZ3TT1K2Tq4=/83x0:2186x1402/235x132/data/photo/2025/02/28/67c1d4e362ed1.jpg"
"41","PKB: Korupsi Minyak Mentah Harus Jadi Momentum Prabowo Benahi Pertamina","28 Februari 2025","https://asset.kompas.com/crops/TPluVmKBDfKtIgZeiFv82H70d3o=/256x171:2304x1535/235x132/data/photo/2025/02/27/67bf54da32bde.jpg"
"42","PBNU: Selamat Menunaikan Ibadah Puasa","28 Februari 2025","https://asset.kompas.com/crops/nTyIzNhQiPmE6GAtJcIBdbJXdGc=/0x0:0x0/235x132/data/photo/2024/10/08/6705002034430.jpg"
"43","Perjalanan Kasus Eks Dirut Pertamina Karen Agustiawan yang Hukumannya Diperberat Jadi 13 Tahun Bui","28 Februari 2025","https://asset.kompas.com/crops/Dv_YnNWOswgXhmldK9eRJkjhDYo=/0x13:998x678/235x132/data/photo/2024/06/24/667966e110336.jpg"
"44","Kenapa Awal Puasa 2025 di Indonesia Lebih Dulu dari Singapura hingga Malaysia?","28 Februari 2025","https://asset.kompas.com/crops/kYUTqZj6vDNTBSNsvnm-6J8VCfU=/0x0:0x0/235x132/data/photo/2025/02/28/67c1af15b0eb2.jpeg"
"45","PBNU Tetapkan Awal Puasa 2025 pada Sabtu 1 Maret, Sama dengan Pemerintah dan Muhammadiyah","28 Februari 2025","https://asset.kompas.com/crops/b30AAJQ4xKWPab0NyNtJgmSNYHE=/129x8:951x556/235x132/data/photo/2025/02/05/67a35e88bf85e.jpg"
"46","Menag: Posisi Hilal Ditemukan di Provinsi Aceh, Awal Puasa Ramadhan 1 Maret 2025","28 Februari 2025","https://asset.kompas.com/crops/kYUTqZj6vDNTBSNsvnm-6J8VCfU=/0x0:0x0/235x132/data/photo/2025/02/28/67c1af15b0eb2.jpeg"
"47","Buruh Sritex yang Kena PHK Tak Otomatis Dapat Bansos, Gus Ipul: Belum Tentu Mereka Turun Kelas","28 Februari 2025","https://asset.kompas.com/crops/KA7kZJdU_2xJK9BSnOf4rKZNiu8=/0x0:0x0/235x132/data/photo/2025/02/27/67c0390a1b6be.jpg"
"48","Awal Puasa 2025, Pemerintah dan Muhammadiyah Bersamaan","28 Februari 2025","https://asset.kompas.com/crops/v5uvcenOp3VRB3ySA4LBY57Nnf4=/0x0:0x0/235x132/data/photo/2025/02/28/67c1983ec445a.jpg"
"49","Hasil Sidang Isbat, Awal Puasa 2025 Sabtu 1 Maret","28 Februari 2025","https://asset.kompas.com/crops/kYUTqZj6vDNTBSNsvnm-6J8VCfU=/0x0:0x0/235x132/data/photo/2025/02/28/67c1af15b0eb2.jpeg"
